NATIONALITY,COUNTRY_DESCRIPTION,AGE_GROUP,IF_TRAVEL_ALONE,TRAVELLING_WITH,AGE_GROUP1_SIZE (<18),AGE_GROUP2_SIZE (18-24),AGE_GROUP3_SIZE (25-44),AGE_GROUP4_SIZE (45-64),AGE_GROUP5_SIZE (65+),NO_FEMALE,NO_MALE,PURPOSE_CODE,PURPOSE_OTHER,ACTIVITY_MAIN,ACTIVITY_OTHERS,INFO_SOURCE,INFO_SOURCE_OTHERS,INFO_RADIO_TV_WEB,TOUR_ARRANGEMENT,PAC_TRANSPORT_INT,PAC_ACCOMODATION,PAC_FOOD,PAC_TRANSPORT_TZ,PAC_SIGHTSEEING,PAC_GUIDED_TOUR,PAC_INSURANCE,PAC_OTHER_ITEM,PACKAGE_COST,IF_GROUP_PACKAGE,NIGHTS_SPENT,NIGHTS_MAINLAND,NIGHTS_ZANZIBAR,CURRENCY1,CURRENCY2,SPENT_AMOUNT_TZ,ACCOMODATION,ACC_HOTEL,ACC_OTHERS,FOOD_DRINK,TRANS_AIR,TRANS_ROAD,TRANS_WATER,TRANS_RAILWAY,TRANS_RENTAL,COST_TRANSPORT_TZ,EXP_CULT_SERVICE,EXP_SPORT,EXP_SIGHTSEEING,MOUNTAIN_CLIMBING,HUNTING,GATE_FEES,VISA_TAXES,EXP_SHOPPING,EXP_OTHER,EXP_OTHER_DETAIL,IF_GROUP_BREAKDOWN,PAYMENT_MODE,PAYMENT_MODE_OTHERS,TZ_COST_COMPARISON,IF_FIRST_TRIP_TZ,MOST_IMPRESSING_TZ1,MOST_IMPRESSING_TZ2,MOST_IMPRESSING_TZ3,MOST_IMPRESSING_TZ4,IMPROVEMENT_AREAS1,IMPROVEMENT_AREAS2,IMPROVEMENT_AREAS3,IMPROVEMENT_AREAS4,OTHER1,OTHER2,OTHER3,VERIFICATION_FLAG,TRAVEL_ELSE_AFRICA
BRITISH,UAE,1Others (please specify)-24,YES,,0,0,0,0,0,1,0,Volunteering,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,25,5,,TZS,222Others (please specify)320,,"1,000,000",0,Others (please specify)04000,0,"300,000","124,320",0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back," Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,45-64,NO,With Spouse and Children,0,2,0,1,0,2,2,Leisure and Holidays,,Conference tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,,"24,000",Yes,11,11,0,USD,USD,"2,000",,0,0,500,0,0,0,0,0,,0,0,0,0,0,0,0,"1,000",50,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back,Too many tips demanded/ Corruption,,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,65+,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"7,000",No,15,15,0,USD,USD,350,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,100,250,TIPS,No,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
ITALIAN,ITALY,25-44,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,14,4,,EUR,"1,500",,500,200,0,200,50,0,0,40,,0,0,0,0,0,0,0,250,250,,No,Cash,,,Yes, Wildlife,"Wonderful Country, Landscape, Nature",,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
ITALIAN,ITALY,25-44,YES,Alone,0,0,0,0,0,1,0,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,15,5,,EUR,"1,500",,500,0,200,0,200,60,0,0,,40,0,0,0,0,0,0,250,250,,No,Cash,,,Yes,"Wonderful Country, Landscape, Nature",Good service0,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
FRENCH,FRANCE,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,1,1,Leisure and Holidays,,Conference tourism,,"Friends, relatives",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,"7,400",Yes,9,9,0,USD,USD,"1,000",,0,0,0,0,0,0,0,0,,0,0,0,Others (please specify)00,0,0,0,200,0,,No,Cash,,,Yes,Friendly People,,,Friendly People, Improve on Roads,,,,,,,0,
BRITISH,UNITED KINGDOM,25-44,YES,,0,0,1,0,0,0,1,Leisure and Holidays,,Wildlife tourism,,"Newspaper, magazines,brochures",,,Package Tour,No,Yes,Yes,No,No,Yes,No,,"1,300",,6,6,0,USD,USD,670,,0,0,50,0,0,0,0,0,,0,0,550,0,0,0,50,20,0,,No,Cash,,,Yes, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)",,,,,,,0,
DUTCH,NETHERLANDS,25-44,NO,With Spouse and Children,1,0,1,0,0,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,Yes,Yes,Yes,Yes,Yes,No,,"10,000",Yes,22,16,6,USD,USD,"1,000",,0,0,0,0,0,0,0,0,,0,0,"1,000",0,0,0,0,0,0,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,45-64,NO,With Spouse,0,0,0,1,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"14,000",Yes,9,9,0,USD,USD,"4,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"3,000","1,000",Tips,No,Cash,,,Yes,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife, Improve on Roads," Improve Facilities (Toilets, Water,...)",,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,25-44,YES,,0,0,0,0,0,0,1,Meetings and Conference,,Wildlife tourism0,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,1,0,,USD,320,,300,0,20,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Credit Card,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
