NATIONALITY,COUNTRY_DESCRIPTION,AGE_GROUP,IF_TRAVEL_ALONE,TRAVELLING_WITH,AGE_GROUP1_SIZE (<18),AGE_GROUP2_SIZE (18-24),AGE_GROUP3_SIZE (25-44),AGE_GROUP4_SIZE (45-64),AGE_GROUP5_SIZE (65+),NO_FEMALE,NO_MALE,PURPOSE_CODE,PURPOSE_OTHER,ACTIVITY_MAIN,ACTIVITY_OTHERS,INFO_SOURCE,INFO_SOURCE_OTHERS,INFO_RADIO_TV_WEB,TOUR_ARRANGEMENT,PAC_TRANSPORT_INT,PAC_ACCOMODATION,PAC_FOOD,PAC_TRANSPORT_TZ,PAC_SIGHTSEEING,PAC_GUIDED_TOUR,PAC_INSURANCE,PAC_OTHER_ITEM,PACKAGE_COST,IF_GROUP_PACKAGE,NIGHTS_SPENT,NIGHTS_MAINLAND,NIGHTS_ZANZIBAR,CURRENCY1,CURRENCY2,SPENT_AMOUNT_TZ,ACCOMODATION,ACC_HOTEL,ACC_OTHERS,FOOD_DRINK,TRANS_AIR,TRANS_ROAD,TRANS_WATER,TRANS_RAILWAY,TRANS_RENTAL,COST_TRANSPORT_TZ,EXP_CULT_SERVICE,EXP_SPORT,EXP_SIGHTSEEING,MOUNTAIN_CLIMBING,HUNTING,GATE_FEES,VISA_TAXES,EXP_SHOPPING,EXP_OTHER,EXP_OTHER_DETAIL,IF_GROUP_BREAKDOWN,PAYMENT_MODE,PAYMENT_MODE_OTHERS,TZ_COST_COMPARISON,IF_FIRST_TRIP_TZ,MOST_IMPRESSING_TZ1,MOST_IMPRESSING_TZ2,MOST_IMPRESSING_TZ3,MOST_IMPRESSING_TZ4,IMPROVEMENT_AREAS1,IMPROVEMENT_AREAS2,IMPROVEMENT_AREAS3,IMPROVEMENT_AREAS4,OTHER1,OTHER2,OTHER3,VERIFICATION_FLAG,TRAVEL_ELSE_AFRICA
BRITISH,UNITED KINGDOM,<1Others (please specify),YES,,0,0,0,0,0,0,1,Leisure and Holidays,,Conference tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"4,000",No,2Others (please specify),2Others (please specify),0,GBP,USD,250,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,50,200,0,,No,Cash,,,Yes,Friendly People,,,Friendly People, Improve on Roads,,,,,,,0,
SWEDISH,SWEDEN,1Others (please specify)-24,NO,,0,1,0,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,No,No,No,No,No,No,,"70,000",Yes,39,32,7,SEK,TZS,"2,000,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"600,000",0,"1,400,000",Yes,Cash,,,Yes,Good service,,,Good service," Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,65+,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,No,Yes,Yes,No,,"4,000",No,12,12,0,USD,USD,"1,020",,0,400,400,0,0,0,0,0,,0,0,0,0,0,0,220,0,0,,No,Cash,,,Yes, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,65+,NO,With Other Friends/Relatives,0,0,0,0,1,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,"12,000",,15,4,0,USD,USD,200,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,Yes,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BRITISH,UNITED KINGDOM,1Others (please specify)-24,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"4,000",No,2Others (please specify),2Others (please specify),0,GBP,USD,250,,0,0,50,0,0,0,0,0,,0,0,0,0,0,0,50,150,0,,No,Cash,,,Yes,Friendly People,Good serviceGood service,,Friendly People, Improve on Roads,,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,25-44,YES,Alone,0,0,0,0,0,0,1,Leisure and Holidays,,Conference tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,No,Yes,Yes,No,,"4,400",Yes,9,9,0,USD,USD,"1,000",,0,0,100,0,0,0,0,0,,0,0,900,0,0,0,0,0,0,,Yes,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
IRISH,AUSTRALIA,25-44,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,Others (please specify)000,Yes,7,6,0,EUR,EUR,"1,000",,0,400,200,0,0,0,0,0,,0,0,200,0,0,0,Others (please specify)0,120,0,,Yes,Cash,,,Yes,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
FRENCH,FRANCE,45-64,NO,With Spouse,0,0,0,1,0,1,1,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,,"4,000",Yes,14,7,7,EUR,USD,300,,0,0,0,0,0,0,0,0,,0,0,0,300,0,0,0,0,0,,Yes,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
FRENCH,FRANCE,25-44,YES,Alone,0,0,0,0,0,0,1,Meetings and Conference,,Beach tourism,,Others (please specify),COMPANY ,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,9,1,,USD,"3,000",,"2,500",0,500,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Credit Card,,,No,Excellent Experience,,,Excellent Experience, Improve on Roads," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,0,
FRENCH,FRANCE,1Others (please specify)-24,NO,With Other Friends/Relatives,0,1,0,0,0,2,0,Leisure and Holidays,,Beach tourism,,Others (please specify),,Web,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,15,42,3,,TZS,"450,000",,"150,000",0,"300,000",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,Excellent Experience,,,Excellent Experience, Improve on Roads,,,,,,,0,
GERMAN,GERMANY,25-44,YES,Alone,0,0,0,0,0,1,0,Business,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,5,0,,USD,"1,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)"," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,0,
INDIAN,KENYA,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,1,1,Business,,Wildlife tourism0,,"Newspaper, magazines,brochures",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2,0,,USD,150,,150,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Credit Card,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
AMERICAN,RWANDA,25-44,YES,Alone,0,0,0,0,0,1,0,Meetings and Conference,,Beach tourism,,Trade fair,,,Package Tour,Yes,No,No,No,No,No,No,,400,,2,2,0,USD,USD,440,,250,0,50,40,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Wider Acceptability of Credit Cards at Tourism Establishments",,,,,,,0,
ITALIAN,ITALY,25-44,NO,With Other Friends/Relatives,0,0,9,0,0,6,4,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,20,0,,USD,"1,400",,"1,400",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,Friendly People,,,Friendly People, Improve on Roads Improve on Roads,,,,,,,0,
KENYAN,KENYA,25-44,YES,Alone,0,0,0,0,0,1,0,Scientific and Academic,,Hunting tourism,STUDY,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,1Others (please specify),0,,USD,1Others (please specify)00,,"1,000",0,0,300,0,0,0,0,,0,0,0,0,0,0,0,500,0,,Yes,Credit Card,,,No,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Roads",,,,,,,0,
NORWEGIAN,NORWAY,25-44,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Cultural tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,61,0,,TZS,Others (please specify)000000,,"3,000,000",0,"2,000,000",0,0,0,0,0,,0,0,"1,000,000",0,0,0,0,"500,000","500,000",,Yes,Cash,,,No,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
GERMAN,GERMANY,25-44,YES,Alone,0,0,0,0,0,0,1,Scientific and Academic,,Hunting tourism,FIELD RESEARCH COURSE,"Friends, relatives",,,Package Tour,Yes,Yes,No,No,No,No,No,,"3,000",Yes,23,23,0,EUR,TZS,"250,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"250,000",0,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BRITISH,UNITED KINGDOM,1Others (please specify)-24,NO,With Other Friends/Relatives,0,1,0,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,36,0,,USD,329,,45,0,200,0,0,0,0,0,,0,0,0,0,0,0,24,60,0,,Yes,Cash,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,65+,NO,With Other Friends/Relatives,0,0,0,1,0,2,0,Leisure and Holidays,,Conference tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,"1,200",Yes,24,22,2,USD,USD,"2,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,400,"1,600",,No,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...) Improve on Roads", Improve on Roads,,,,,,0,
AUSTRIAN,AUSTRIA,25-44,NO,With Spouse,0,0,0,1,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,Package Tour,Yes,Yes,No,No,No,No,No,,"3,200",Yes,0,9,0,EUR,TZS,"700,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Credit Card,,,Yes, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
CHINESE,CHINA,25-44,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,12Others (please specify)00,,5,4,0,USD,USD,250,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,250,0,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,,0,
ZAMBIAN,ZAMBIA,25-44,YES,Alone,0,0,0,0,0,1,0,Other,COLLECTING VEHICLE,Hunting tourism,VIEWING HOTELS,"Radio, TV, Web (please specify)",,TV,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2,0,,TZS,"400,000",,"100,000",0,Others (please specify)0000,0,0,0,0,0,,0,0,0,0,0,0,0,"220,000",0,,Yes,Cash,,,No,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,,,,,0,
BRITISH,UGANDA,25-44,YES,Alone,0,0,0,0,0,0,1,Other,TRANSIT,Hunting tourism,TRANSIT,Others (please specify),,TRANSIT,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,4,0,,TZS,"200,000",,"100,000","100,000",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,No, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
UGANDAN,UGANDA,25-44,NO,With Other Friends/Relatives,0,0,4,0,0,5,1,Visiting Friends and Relatives,,Wildlife tourism0,,Trade fair,,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,4,0,,TZS,"300,000",,"200,000",0,0,0,"100,000",0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,,0,
BURUNDESE,BURUNDI,25-44,YES,,0,0,0,0,0,1,0,Visiting Friends and Relatives,,Hunting tourism,Visiting friend and Relatives,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,10,0,,TZS,"1,065,000",,"200,000",0,"315,000",0,"120,000",0,0,0,,0,0,0,0,0,0,0,"400,000","30,000",Road Fund,Yes,Cash,,,No,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
ITALIAN,ITALY,45-64,NO,With Children,1,0,0,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"7,000",Yes,20,9,0,EUR,EUR,110,,0,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,60,0,,Yes,Cash,,,Yes, Wildlife,,, Wildlife, Improve on Roads,,,,,,,0,
ITALIAN,ITALY,25-44,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,,"3,400",No,7,0,7,EUR,USD,300,,0,0,0,0,0,0,0,0,,0,0,300,0,0,0,0,0,0,,Yes,Cash,,,Yes,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BURUNDESE,BURUNDI,25-44,YES,,0,0,0,0,0,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,3,0,,TZS,"106,000",,0,"14,000","60,000",0,"12,000",0,0,0,,0,0,0,0,0,0,0,0,"20,000",,Yes,Cash,,,No,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
NIGERIAN,MALAWI,25-44,YES,,0,0,0,0,0,0,1,Business,,Wildlife tourism0,,Tanzania Mission Abroad,,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,3,0,,TZS,1Others (please specify)0000,,"60,000",0,"20,000",0,"100,000",0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
UGANDAN,UGANDA,45-64,YES,Alone,0,0,0,0,0,0,1,Business,,Wildlife tourism0,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,30,0,,TZS,"690,000",,"360,000",0,"300,000",0,"30,000",0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
ZAMBIAN,ZAMBIA,25-44,YES,Alone,0,0,0,0,0,0,1,Business,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,12,0,,TZS,"1,300,000",,"300,000",0,"100,000",0,Others (please specify)00000,0,0,0,,0,0,0,0,0,0,0,0,"100,000",,Yes,Cash,,,No,Friendly People,,,Friendly People, Improve on Roads,,,,,,,0,
UGANDAN,UGANDA,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,0,2,Meetings and Conference,,Mountain climbing,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,21,0,,TZS,"150,000",,0,0,0,0,"50,000",0,0,"20,000",,0,0,0,0,0,0,0,0,Others (please specify)0000,,No,Cash,,,Yes,Friendly People,,,Friendly People, Improve on Security/Safety,,,,,,,0,
ROMANIAN,UNITED KINGDOM,25-44,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,3Others (please specify)60,Yes,9,5,0,USD,USD,105,,0,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,30,25,,Yes,Cash,,,Yes, Wildlife,,, Wildlife, Improve on Roads,,,,,,,0,
BURUNDESE,BURUNDI,25-44,YES,,0,0,0,0,0,0,1,Visiting Friends and Relatives,,Hunting tourism,VISITING FRIENDS,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2,0,,TZS,"130,000",,0,"14,000",0,0,"12,000",0,0,0,,0,0,0,0,0,0,0,"100,000","4,000",,Yes,Cash,,,No,Friendly People,,,Friendly People,Too many tips demanded/ Corruption,,,,,,,0,
UGANDAN,UGANDA,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,1,1,Visiting Friends and Relatives,,Hunting tourism,VFR,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,14,0,,TZS,"120,000",,0,0,"20,000",0,"100,000",0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
ITALIAN,ITALY,25-44,NO,With Other Friends/Relatives,0,2,4,2,0,6,4,Leisure and Holidays,,Beach tourism,,"Friends, relatives",,,Package Tour,Yes,Yes,Yes,Yes,No,No,No,,"7,000",No,9,0,9,EUR,USD,600,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,400,200,,Yes,Credit Card,,,No, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
GERMAN,GERMANY,45-64,YES,,0,0,0,0,0,1,0,Visiting Friends and Relatives,,Bird watching,,Tanzania Mission Abroad,,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,12,0,,USD,400,,0,0,140,0,60,0,0,0,,0,0,0,0,0,0,0,200,0,,Yes,Cash,,,No,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on Roads,,,,,,,0,
BRITISH,UNITED KINGDOM,45-64,NO,With Spouse and Children,2,0,0,1,0,3,2,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2Others (please specify),0,,GBP,"2,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,Friendly People,,,Friendly People, Improve on Roads,,,,,,,0,
NEW ZEALANDER,NEW ZEALAND,45-64,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"10,000",No,21,15,6,NZD,USD,500,,0,250,250,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Credit Card,,,Yes, Wildlife,,, Wildlife, Improve on RoadsWider Acceptability of Credit Cards at Tourism Establishments,,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,1Others (please specify)-24,YES,,0,0,0,0,0,0,1,Leisure and Holidays,,Cultural tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,16,0,,USD,"1,490",,0,"1,000",0,200,0,0,0,0,,20,0,0,20,0,200,0,50,0,,Yes,Credit Card,,,Yes,Good serviceGood service,,,Good serviceGood service," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,1Others (please specify)-24,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Cultural tourism,,"Newspaper, magazines,brochures",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,19,7,,USD,"2,120",,700,0,600,200,50,50,0,0,,50,50,50,0,0,50,120,200,0,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back,Others (please specify),,,,,,,0,
NEW ZEALANDER,NEW ZEALAND,25-44,NO,,0,0,0,0,0,0,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,No,Yes,Yes,No,,"10,000",No,21,15,6,NZD,USD,500,,250,250,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)"," Improve Facilities (Toilets, Water,...)Wider AcceptabSlow/poor customer services",,,,,,0,
FRENCH,FRANCE,25-44,YES,,0,0,0,0,0,1,0,Visiting Friends and Relatives,,Wildlife tourism,,"Newspaper, magazines,brochures",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,90,0,,EUR,1Others (please specify)00,,0,600,0,0,600,0,0,0,,0,0,0,0,0,0,0,400,200,TIPS,Yes,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BRITISH,UNITED KINGDOM,45-64,NO,With Spouse and Children,1,2,0,1,0,2,3,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,No,No,No,No,,"3,000",Yes,0,12,0,GBP,USD,"1,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve on Roads",,,,,,,0,
BRITISH,UNITED KINGDOM,65+,NO,With Spouse and Children,1,0,0,1,0,1,2,Leisure and Holidays,,Wildlife tourism,,"Newspaper, magazines,brochures",,,Package Tour,Yes,Yes,No,No,Yes,No,No,,"10,000",,13,Others (please specify),5,EUR,USD,"2,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes, Wildlife,,, Wildlife, Improve on Roads,,,,,,,0,
CANADIAN,CANADA,1Others (please specify)-24,YES,,0,0,0,0,0,0,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,7,3,,USD,"2,000",,450,0,250,0,0,70,0,0,,0,200,500,0,0,0,50,150,330,,Yes,Cash,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0",,,,,,,0,
BRITISH,UNITED KINGDOM,<1Others (please specify),YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism0,,"Radio, TV, Web (please specify)",,WEB,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,,"3,000",No,14,14,0,GBP,TZS,"200,000",,0,"100,000",0,"50,000",0,"50,000",0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BRITISH,UNITED KINGDOM,45-64,YES,,0,0,0,0,0,0,1,Scientific and Academic,,Hunting tourism,Accademic,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,15,0,,USD,"2,500",,"1,000",0,500,0,0,0,0,0,,0,0,0,0,0,0,0,"1,000",0,,Yes,Cash,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,1Others (please specify)-24,YES,,0,0,0,0,0,1,0,Volunteering,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,20,Others (please specify),,USD,"4,500",,"1,000",0,0,"1,000","1,000",0,0,0,,0,200,0,0,0,0,Others (please specify)00,0,500,,Yes,Cash,,,Yes, Wildlife,,, Wildlife, Improve on RoadsOthers (please specify),,,,,,,0,
ITALIAN,ITALY,65+,NO,With Spouse,0,0,0,0,1,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,,"5,000",Yes,20,6,0,USD,USD,Others (please specify)5,,0,0,20,0,0,0,0,0,,0,0,0,0,0,0,50,0,15,TIPS,No,Cash,,,Yes,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife, Improve on RoadsWider Acceptability of Credit Cards at Tourism Establishments,,,,,,,0,
BRITISH,UNITED KINGDOM,45-64,NO,With Children,1,0,0,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,,"12,000",Yes,16,7,7,GBP,USD,"17,501",,0,0,Others (please specify)00,0,0,0,0,0,,50,140,260,0,0,0,150,150,200,,Yes,Cash,,,Yes,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)0",,,,,,,0,
KENYAN,KENYA,25-44,NO,Alone,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2,2,,USD,500,,250,50,50,0,100,50,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,,0,
AUSTRALIAN,AUSTRALIA,1Others (please specify)-24,YES,Alone,0,0,0,0,0,1,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,,"4,000",Yes,42,7,4,USD,USD,750,,0,0,100,0,0,0,0,0,,20,50,500,0,0,0,50,50,0,,Yes,Cash,,,Yes,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,SOUTH AFRICA,25-44,YES,,0,0,0,0,0,0,1,Business,,Wildlife tourism0,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,No,No,No,,"1,500",No,2,2,0,USD,USD,"1,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"9,000",100,,Yes,Credit Card,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
