nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
AMERICAN,UNITED STATES OF AMERICA,45-64,0,With Spouse and Children,1,2,3,Leisure and Holidays,,Conference tourism,,"Radio, TV, Web (please specify)",,,1,0,1,1,1,1,1,0,USD,12000,1,14,0,USD,2000,800,0,500,500,0,0,0,0,,0,0,0,0,0,0,0,200,0,,1,Cash,,1,Friendly People,Good serviceGood service,,Friendly People, Improve on Roads," Improve Facilities (Toilets, Water,...)",,
KENYAN,KENYA,25-44,0,With Spouse,1,1,2,Meetings and Conference,,Mountain climbing,,Others (please specify),,NEIGHBOURING COUNTRY,0,0,0,0,0,0,0,0,,0,,4,0,TZS,425000,200000,0,150000,0,60000,0,0,0,,0,0,0,0,0,0,0,15000,0,,1,Cash,,0,"Wonderful Country, Landscape, Nature",Good service,,"Wonderful Country, Landscape, Nature",Too many tips demanded/ Corruption,,,
AMERICAN,UNITED STATES OF AMERICA,45-64,0,With Spouse and Children,1,3,4,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,USD,20000,1,11,0,USD,350,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,30,50,TIPS,1,Cash,,1, Wildlife,,, Wildlife, Improve on Roads Improve on Security/Safety,,,
AUSTRALIAN,AUSTRALIA,45-64,1,Alone,1,0,1,Leisure and Holidays,,Wildlife tourism,,"Radio, TV, Web (please specify)",,WEB,1,0,1,1,1,1,1,0,AUD,7500,0,10,2,AUD,200,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,100,0,,0,Cash,,0, Wildlife,,, Wildlife, Improve on Roads,,,
ZIMBABWEAN,ZIMBABWE,25-44,1,Alone,0,1,1,Business,,Hunting tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,600,250,0,100,250,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CZECH,CZECH REPUBLIC,25-44,1,Alone,0,1,1,Leisure and Holidays,,Conference tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,11,0,USD,1425,100,0,100,0,15,0,0,0,,0,0,0,1000,0,0,50,100,60,TIPS,1,Cash,,1,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
MOZAMBICAN,MOZAMBIQUE,25-44,1,,0,1,1,Leisure and Holidays,,Conference tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,8,0,USD,500,200,0,100,0,0,0,0,0,,0,0,0,100,0,0,0,1000,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CHINESE,CHINA,25-44,1,Alone,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,1,0,1,1,1,1,1,0,USD,4299,1,8,0,USD,50,0,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,No comments,,,No comments, Improve on Security/Safety,,,
AMERICAN,UNITED STATES OF AMERICA,65+,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,USD,1500,1,10,0,USD,1100,0,0,150,0,0,0,0,0,,0,0,0,0,0,0,0,200,750,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
AUSTRALIAN,AUSTRALIA,45-64,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,0,AUD,18000,1,8,0,USD,500,0,150,150,0,0,0,0,0,,0,0,0,0,0,0,100,100,0,,1,Credit Card,,1,Friendly People, Wildlife,,Satisfies and Hope Come Back, Improve on Roads,,,
FRENCH,FRANCE,25-44,1,,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,4,4,USD,1170,160,0,100,250,25,0,0,0,,15,0,550,0,0,0,50,20,0,,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
KENYAN,KENYA,25-44,0,With Other Friends/Relatives,0,3,3,Leisure and Holidays,,Bird watching,,Trade fair,,,0,0,0,0,0,0,0,0,,0,,3,0,USD,730,200,0,300,0,50,0,0,0,,0,0,0,0,0,0,0,180,0,,0,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
CHINESE,CHINA,25-44,1,Alone,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,1,USD,4299,0,8,0,USD,150,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,150,TIPS,0,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
BRITISH,KENYA,25-44,0,With Children,2,3,5,Visiting Friends and Relatives,,Bird watching,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,KES,40000,40000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife, Improve on Roads Improve on Security/Safety,,,
CHINESE,CHINA,18-24,1,,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,870,0,0,0,0,20,0,0,0,,0,0,800,0,0,0,50,0,0,,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AMERICAN,UNITED STATES OF AMERICA,65+,0,With Spouse,1,1,2,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,700,300,0,0,0,200,0,0,0,,0,0,0,0,0,0,200,0,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
BRITISH,UNITED KINGDOM,18-24,1,,1,0,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,0,GBP,4000,0,28,0,USD,200,0,0,50,0,0,0,0,0,,0,0,0,0,0,0,50,100,0,,0,Cash,,1,Friendly People,,,Friendly People, Improve on Roads,,,
FRENCH,FRANCE,45-64,0,With Spouse and Children,1,3,4,Leisure and Holidays,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,18,10,USD,8100,5000,600,0,600,100,100,0,0,,0,0,0,500,100,0,0,1100,0,,1,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)",,,
GERMAN,GERMANY,45-64,1,Alone,1,0,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,0,1,0,EUR,3000,0,8,3,USD,270,0,0,60,0,0,0,0,0,,0,0,0,0,0,0,50,60,100,,0,Cash,,1, Wildlife,"Wonderful Country, Landscape, Nature",,Friendly People," Improve Facilities (Toilets, Water,...)",,,
ZIMBABWEAN,ZIMBABWE,45-64,1,Alone,0,1,1,Business,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,145,20,0,15,0,110,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,No comments,,,No comments, Improve on Roads, Improve on RoadsWider Acceptability of Credit Cards at Tourism Establishments,,
ZIMBABWEAN,ZIMBABWE,45-64,1,Alone,0,1,1,Business,,Wildlife tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,150,20,0,15,0,45000,0,0,0,,0,0,0,0,0,0,0,0,90000,,1,Cash,,0,Good service,Good service,Others (please specify),Good service," Improve Facilities (Toilets, Water,...)",,,
AUSTRALIAN,AUSTRALIA,45-64,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,AUD,30000,0,14,3,AUD,500,0,0,200,0,0,0,0,0,,0,0,0,0,0,0,100,0,200,TIPS,1,Cash,,1,"Wonderful Country, Landscape, Nature", Wildlife,Friendly People,Friendly People," Improve Facilities (Toilets, Water,...)", Improve on Roads,,
ZAMBIAN,ZAMBIA,25-44,1,Alone,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,830000,30000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200000,600000,,1,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)0",,,
AUSTRALIAN,AUSTRALIA,45-64,1,Alone,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,0,AUD,15000,0,14,3,USD,500,0,0,200,0,0,0,0,0,,0,0,0,0,0,0,0,100,200,,0,Cash,,1, Wildlife,,, Wildlife, Improve on RoadsWider Acceptability of Credit Cards at Tourism Establishments,,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,0,1,1,1,0,USD,6800,1,0,14,USD,400,0,0,300,0,50,0,0,0,,0,0,30,0,0,0,0,20,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)0",,,
ITALIAN,ITALY,45-64,0,With Other Friends/Relatives,2,1,3,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,0,0,0,1,EUR,13000,1,0,13,EUR,657,0,0,0,0,0,0,0,0,,0,0,500,0,0,0,157,0,0,,1,Cash,,1, Wildlife,,, Wildlife, Improve on Roads," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,
ITALIAN,ITALY,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,0,1,EUR,3000,1,0,7,EUR,300,0,0,0,0,0,0,0,0,,0,300,0,0,0,0,0,0,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ITALIAN,ITALY,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,0,0,EUR,2000,1,0,6,EUR,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Other Friends/Relatives,0,2,2,Other,COLLECTING VEHICLE,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,190,15,0,0,0,70,0,0,0,,0,0,0,0,0,0,0,104,0,,0,Cash,,1,Good serviceGood service,Friendly People,,Good serviceGood service, Improve on Roads, Improve on Security/Safety,,
AUSTRALIAN,AUSTRALIA,45-64,1,Alone,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Newspaper, magazines,brochures",,,1,0,1,1,1,1,1,0,AUD,2000,0,5,3,USD,350,0,0,200,0,0,0,0,0,,0,0,0,0,0,0,50,100,0,,0,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)0",,,
KENYAN,KENYA,45-64,1,Alone,0,1,1,Business,,Wildlife tourism,,Others (please specify),,,0,0,0,0,0,0,0,0,,0,,24,0,TZS,2657000,960000,0,720000,0,100000,0,0,0,,0,0,864000,0,0,0,0,0,13000,,1,Cash,,0,Friendly People,,,Friendly People,Flycatchers/ vendors are annoying,,,
BELGIAN,BELGIUM,18-24,1,Alone,1,0,1,Leisure and Holidays,,Cultural tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,EUR,1800,0,10,0,EUR,125,0,0,825,0,0,0,0,0,,0,0,0,0,0,0,0,100,0,,1,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",Good serviceGood service, Wildlife," Improve Facilities (Toilets, Water,...)0",,,
INDIAN,INDIA,25-44,1,,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,465760,0,0,100000,0,200000,0,0,0,,0,0,0,0,0,0,82880,82880,0,,0,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Other Friends/Relatives,2,0,2,Scientific and Academic,,Wildlife tourism,,Others (please specify),,INTERNET,0,0,0,0,0,0,0,0,,0,,10,0,USD,850,250,0,30,0,70,0,0,0,,0,0,200,0,0,0,300,0,0,,0,Credit Card,,0,Friendly People, Wildlife,,Satisfies and Hope Come Back, Improve on Roads,,,
SPANISH,SPAIN,25-44,0,With Other Friends/Relatives,9,11,20,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,0,0,EUR,60000,1,9,3,USD,4000,0,0,0,0,0,0,0,0,,0,0,4000,0,0,0,0,0,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on Roads,,,
KENYAN,OMAN,25-44,1,,1,0,1,Visiting Friends and Relatives,,Beach tourism,,Others (please specify),,RADIO,0,0,0,0,0,0,0,0,,0,,13,4,USD,4700,2000,0,800,0,0,0,0,200,,300,0,400,1000,0,0,0,0,0,,1,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)",,,
ITALIAN,ITALY,25-44,0,With Other Friends/Relatives,1,1,2,Visiting Friends and Relatives,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,0,0,0,0,EUR,3000,1,0,8,EUR,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
FRENCH,FRANCE,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,0,1,0,0,0,EUR,6000,1,9,5,USD,400,0,0,100,0,0,0,0,0,,90,0,70,0,0,0,100,40,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature", Wildlife, Wildlife, Wildlife," Improve Facilities (Toilets, Water,...)",,,
ZAMBIAN,ZAMBIA,25-44,1,Alone,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,6,0,TZS,1000000,300000,0,100000,0,400000,0,0,0,,0,0,0,0,0,0,0,0,200000,,0,Cash,,1, Wildlife,Friendly People,,1, Improve on Roads," Improve Facilities (Toilets, Water,...)0",,
AMERICAN,UNITED STATES OF AMERICA,65+,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,USD,9000,1,4,0,USD,40,0,0,10,0,0,0,0,0,,0,0,0,0,0,0,0,30,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
FRENCH,SPAIN,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,0,1,EUR,6000,1,0,5,EUR,300,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,150,50,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
ITALIAN,ITALY,45-64,1,,0,1,1,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,1,1,EUR,2800,1,0,5,USD,400,0,0,0,0,0,0,0,0,,0,400,0,0,0,0,0,0,0,,1,Cash,,1,Good serviceGood service,,,Good serviceGood service," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ITALIAN,ITALY,45-64,0,With Spouse and Children,2,1,3,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,EUR,10000,1,6,4,USD,1000,0,0,500,0,0,100,0,0,,400,0,0,0,0,0,0,0,0,,1,Credit Card,,1, Wildlife,,, Wildlife, Improve on Security/Safety,,,
SOUTH AFRICAN,SOUTH AFRICA,45-64,0,With Spouse,1,1,2,Leisure and Holidays,,business,,"Newspaper, magazines,brochures",,,1,1,1,1,1,1,1,1,ZAR,16000,1,2,6,TZS,400000,0,0,0,0,0,0,0,0,,0,200000,200000,0,0,0,0,0,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ITALIAN,ITALY,25-44,1,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,EUR,3600,1,0,7,EUR,100,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)",,,
KENYAN,KENYA,25-44,1,Alone,1,0,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,450000,200000,0,200000,0,50000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Friendly People,Good service,,Friendly People," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
ITALIAN,ITALY,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,0,0,0,0,EUR,6000,1,0,8,EUR,300,0,100,0,0,0,0,0,0,,0,0,150,0,0,0,0,50,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Children,1,1,2,Leisure and Holidays,,Conference tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,USD,600,1,6,0,USD,500,0,0,70,0,0,0,0,0,,0,0,0,400,0,0,0,30,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature",Flycatchers/ vendors are annoying, Improve on Roads Improve on Security/Safety, Improve on RoadsOthers (please specify),
KENYAN,KENYA,25-44,1,,0,1,1,Leisure and Holidays,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,USD,2000,1000,800,0,0,200,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
RWANDESE,CANADA,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,0,4,USD,3100,1000,0,800,0,0,0,0,0,,500,0,300,0,0,0,0,500,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
FRENCH,FRANCE,65+,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,0,1,0,0,EUR,6000,1,6,0,EUR,400,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,400,0,,1,Cash,,1,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Other Friends/Relatives,0,2,2,Leisure and Holidays,,Diving and Sport Fishing,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,USD,7800,0,9,0,USD,1000,100,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,600,200,Tips,0,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,KENYA,45-64,1,,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,508840,198840,0,30000,0,250000,0,0,0,,0,0,0,0,0,30000,0,0,0,,0,Cash,,0,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife, Improve on Security/Safety, Improve on RoadsWider AcceptabSlow/poor customer services,,
AMERICAN,UNITED STATES OF AMERICA,18-24,0,With Other Friends/Relatives,1,1,2,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,5,1,EUR,390,30,0,200,0,0,100,0,0,,0,0,0,0,0,0,45,0,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SERBIAN,SERBIA,25-44,1,Alone,0,1,1,Leisure and Holidays,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,6,4,USD,850,450,0,100,0,50,70,0,0,,0,50,0,50,0,0,50,50,0,,1,Cash,,1, Wildlife,,, Wildlife,Wider AcceptabSlow/poor customer services,,,
ITALIAN,ITALY,45-64,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,Tanzania Mission Abroad,,,0,0,0,0,0,0,0,0,,0,,21,4,EUR,2000,500,0,300,600,0,0,0,0,,100,0,300,0,0,0,0,100,100,,1,Cash,,0,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
FRENCH,FRANCE,65+,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,0,1,1,1,1,EUR,13000,1,10,11,EUR,1900,0,0,600,0,0,0,0,0,,500,300,0,0,0,0,500,0,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)",,,
GERMAN,GERMANY,25-44,0,With Other Friends/Relatives,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,0,1,0,0,0,EUR,11000,1,15,0,USD,1000,0,0,500,0,0,0,0,0,,0,0,0,0,0,0,0,300,200,,1,Credit Card,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
KENYAN,KENYA,18-24,1,Alone,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,7,USD,1067,0,0,100,60,91,25,0,0,,0,0,560,0,0,0,0,200,31,TIPS,0,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Other Friends/Relatives,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,USD,5200,1,6,0,USD,600,0,0,50,0,0,0,0,0,,0,0,0,0,0,0,200,100,250,,1,Cash,,1,Friendly People,,,Friendly People, Improve on Roads,,,
SWEDISH,SWEDEN,65+,1,,0,1,1,Leisure and Holidays,,Wildlife tourism,,Others (please specify),,Web,1,1,1,1,1,1,0,0,SUR,31000,1,7,0,USD,500,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,300,200,Tips,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
TAIWANIAN,TAIWAN,25-44,1,,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,USD,5700,0,8,0,USD,100,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,30,70,TIPS,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
KENYAN,KENYA,45-64,1,Alone,0,1,1,Business,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,177,90,0,30,0,0,0,0,0,,0,0,0,0,0,0,0,57,0,,0,Credit Card,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature",Wider AcceptabSlow/poor customer services,,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Other Friends/Relatives,0,2,2,Business,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,800,60,200,0,0,20,0,0,20,,0,0,0,0,0,0,0,400,100,,1,Cash,,1,Friendly People,Good serviceGood service, Wildlife,Friendly People," Improve Facilities (Toilets, Water,...)",,,
ZIMBABWEAN,ZIMBABWE,25-44,1,Alone,1,0,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,300000,0,90000,60000,0,150000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
UGANDAN,UGANDA,45-64,1,,1,0,1,Scientific and Academic,,Hunting tourism,SCIENTIFIC AND ACADEMIC,Others (please specify),,,1,1,1,1,1,0,0,1,USD,800,1,5,0,USD,100,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,100,0,,1,Cash,,0,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AUSTRALIAN,AUSTRALIA,45-64,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,AUD,24000,0,7,3,USD,300,0,0,120,0,0,0,0,0,,0,0,0,0,0,0,100,30,50,TIPS,0,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
FRENCH,FRANCE,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,0,1,1,1,EUR,6500,1,10,4,EUR,1000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,700,300,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve on Roads",,,
JAPANESE,JAPAN,45-64,1,,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,JYP,650000,0,6,0,USD,30,0,0,30,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1, Wildlife,,, Wildlife, Improve on Roads Improve on Security/Safety,,,
