nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
AMERICAN,UNITED STATES OF AMERICA,18-24,1,,1,0,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,AFA,0,1,69,0,USD,2450,0,800,700,450,0,0,0,0,,0,0,0,0,0,0,200,1300,0,,0,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Other Friends/Relatives,0,2,2,Business,,Hunting tourism,BUSINESS,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,400,300,0,70,0,0,0,0,0,,0,0,0,0,0,0,0,30,0,,0,Credit Card,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Wider Acceptability of Credit Cards at Tourism Establishments",,,
SOUTH AFRICAN,SOUTH AFRICA,25-44,0,With Other Friends/Relatives,2,0,2,Meetings and Conference,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,2,USD,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,50,150,0,,0,Cash,,0,Good serviceGood service,,,Good serviceGood service," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
FRENCH,FRANCE,45-64,0,With Children,2,1,3,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,0,1,0,0,0,USD,13000,1,5,5,USD,2000,0,0,1000,0,0,0,0,0,,0,0,0,0,0,0,150,0,0,,1,Cash,,1,Friendly People,,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
OMANIS,OMAN,25-44,0,With Spouse,1,1,2,Visiting Friends and Relatives,,Hunting tourism,FAMILY VISIT,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,46,0,TZS,100000,0,100000,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
SPANISH,SPAIN,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,EUR,5000,0,6,4,EUR,700,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
GREEK,GREECE,25-44,1,Alone,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Radio, TV, Web (please specify)",,INTERNET,0,0,0,0,0,0,0,0,,0,,0,27,USD,2800,2000,0,0,250,0,0,0,0,,0,0,0,0,0,0,50,500,0,,1,Credit Card,,1, Wildlife,Good serviceGood service,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SPANISH,SPAIN,25-44,1,Alone,0,1,1,Leisure and Holidays,,Beach tourism,,Others (please specify),,LONELY PLANET GUIDE BOOK,0,0,0,0,0,0,0,0,,0,,0,5,EUR,700,300,0,200,0,0,0,0,0,,0,0,0,0,0,50,50,100,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
INDIAN,BANGLADESH,45-64,1,Alone,1,0,1,Meetings and Conference,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,0,0,0,0,0,0,USD,1500,0,5,0,USD,1500,800,200,0,0,500,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Credit Card,,0,Friendly People,Good serviceGood service,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Roads",,,
INDIAN,INDIA,45-64,1,,0,1,1,Meetings and Conference,,Wildlife tourism,,Others (please specify),,CONFERENCE,0,0,0,0,0,0,0,0,,0,,3,0,USD,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
